p	E	Mean edge participation	Std edge participation	Largest cycle size	Mean cycle size	Std cycle size	Number of cycles	Number cycle connected components	Number of TR edges	Longest path	Number of nodes	Number of edges	Balance	Balance_norm	Number_diamonds	Number_mixers	Largest eigenvalue M_C	Largest eigenvalue A_C	Mean cycle height	Std cycle height	Mean stretch	eigenvalue_ratio	Largest M_C by corr size
0.8	99791	0.611398964	0.635132569	8	4.425	0.787003812	80	56	579	426	500	579	0.05485119	0.045446429	77	3	8.982695082	4.09964773	220.0671429	131.8875759	2.5	0.456393954	2.24567377
0.8	99799	0.593425606	0.669988144	6	4.341772152	0.548555663	79	52	578	430	500	578	0.047468354	0.040822785	75	4	9.828427125	5.701562119	225.7457806	128.9628211	2.430379747	0.580109314	2.457106781
0.8	99866	0.580869565	0.661999035	6	4.394736842	0.629932063	76	50	575	431	500	575	0.054223967	0.045649179	73	3	8.939234868	4.939234868	239.7256579	122.7844356	2.434210526	0.269232039	2.234808717
0.8	99651	0.684121622	0.665169587	7	4.35483871	0.633222876	93	61	592	415	500	592	0.045058884	0.038172043	89	4	9.4514466	5.269664616	210.0926779	106.500373	2.440860215	0.557551118	2.36286165
0.8	99695	0.793442623	0.753106975	6	4.36036036	0.581901091	111	55	610	406	500	610	0.047744081	0.040714753	107	4	9.49068257	5.276976349	185.4384384	113.71293	2.387387387	0.210732999	2.372670643
0.8	99748	0.720735786	0.718092601	7	4.353535354	0.656177041	99	57	598	417	500	598	0.045274067	0.038074117	96	3	9.698836453	5.276976349	198.120683	127.9576751	2.444444444	0.544083445	2.424709113
0.8	100035	0.696610169	0.711519287	7	4.516483516	0.685206913	91	51	590	417	500	590	0.062053026	0.053296703	88	3	10.01754074	5.701562119	183.2614338	117.1497312	2.604395604	0.526043742	2.504385184
0.8	99658	0.709459459	0.692658201	7	4.516129032	0.712603937	93	52	592	415	500	592	0.067097518	0.056390727	88	5	9.49068257	5.269664616	238.2756528	115.6728594	2.623655914	-0.269326322	2.372670643
0.8	99699	0.740863787	0.759846495	7	4.330097087	0.613573798	103	54	602	415	500	602	0.044498382	0.037621359	97	6	10.31938537	6.297175824	180.2704115	128.6307472	2.446601942	0.610227799	2.579846342
0.9	112166	0.406871609	0.543669615	5	4.166666667	0.372677996	54	45	553	448	500	553	0.023809524	0.020833333	54	0	6.732050808	2.732050808	198.437037	119.8990259	2.166666667	0.40582742	1.683012702
0.9	112093	0.401088929	0.578437953	6	4.25	0.514220845	52	39	551	452	500	551	0.034340659	0.029326923	52	0	8.249140538	4.249140538	260.0820513	111.8341445	2.25	0.515101	2.062285135
0.9	112206	0.390909091	0.564002813	6	4.215686275	0.497591276	51	41	550	452	500	550	0.029411765	0.025	50	1	8.131312518	4.09964773	242.0287582	116.5803007	2.235294118	0.463201417	2.03282813
0.9	112295	0.370642202	0.550446483	6	4.391304348	0.641948829	46	37	545	455	500	545	0.047360248	0.040217391	44	2	8	3.372281323	243.8652174	120.5971602	2.413043478	-0.296535165	2
0.9	112110	0.397459165	0.565101926	6	4.211538462	0.531201051	52	42	551	451	500	551	0.028159341	0.023557692	51	1	9.69401928	5.269664616	241.2307692	119.1979579	2.25	0.54359956	2.42350482
0.9	112314	0.359633028	0.564243305	6	4.260869565	0.528935872	46	34	545	458	500	545	0.035714286	0.030434783	45	1	7.713584662	3.372281323	193.3938406	117.5465885	2.304347826	0.437187309	1.928396165
0.9	112317	0.479573712	0.605649978	6	4.21875	0.483113276	64	48	563	442	500	563	0.030133929	0.02578125	63	1	8.323404276	4.249140538	214.5143229	133.2107209	2.21875	0.510505125	2.080851069
0.9	112360	0.37704918	0.544806277	6	4.14	0.400499688	50	41	549	453	500	549	0.019285714	0.0165	50	0	6.732050808	2.732050808	230.5766667	141.1891687	2.14	0.40582742	1.683012702
0.9	112282	0.335793358	0.548203387	5	4.23255814	0.42246284	43	33	542	460	500	542	0.033222591	0.029069767	42	1	7.713584662	3.372281323	252.4186047	128.5171322	2.255813953	0.437187309	1.928396165
0.9	112509	0.343173432	0.529864116	6	4.325581395	0.515838907	43	36	542	458	500	542	0.045681063	0.039534884	42	1	8.131312518	3.766435484	223.3926357	122.7571544	2.325581395	0.463201417	1.626262504
0.9	112528	0.413793103	0.551610696	8	4.384615385	0.76343974	52	43	551	450	500	551	0.049587912	0.041071429	51	1	9.512139947	3.372281323	244.4610577	130.9670679	2.423076923	0.354523939	1.902427989
0.9	112282	0.362637363	0.545037221	6	4.212765957	0.458311898	47	38	546	455	500	546	0.029635258	0.025531915	46	1	8	3.372281323	221.7251773	119.907562	2.234042553	0.421535165	2
0.9	112238	0.34501845	0.512719307	6	4.348837209	0.565838375	43	37	542	457	500	542	0.042358804	0.036627907	43	0	6.732050808	2.732050808	257.4124031	133.7302437	2.325581395	0.40582742	1.683012702
0.9	112216	0.433453237	0.591513377	6	4.228070175	0.459501784	57	43	556	448	500	556	0.031954887	0.027631579	54	3	8	3.372281323	196.955848	112.8285001	2.245614035	0.421535165	2
0.9	112357	0.327171904	0.552411238	5	4.214285714	0.410325903	42	30	541	461	500	541	0.030612245	0.026785714	40	2	8.281861218	3.909515966	233.3964286	149.8025055	2.261904762	0.472057653	2.070465304
0.9	112089	0.479500891	0.605992447	8	4.338709677	0.670665254	62	47	561	442	500	561	0.045046083	0.038076037	61	1	9.701562119	5.701562119	194.0900538	128.8890191	2.35483871	0.206152368	2.42539053
0.9	112299	0.327777778	0.49625138	6	4.317073171	0.515090539	41	38	540	458	500	540	0.044425087	0.038414634	40	1	8	3.372281323	238.6410569	122.3841826	2.341463415	0.421535165	2
0.9	112316	0.368131868	0.543030255	5	4.276595745	0.447314809	47	39	546	455	500	546	0.039513678	0.034574468	44	3	7.857675303	3.460867325	231.2808511	123.127131	2.340425532	0.440444176	1.964418826
0.9	112158	0.436265709	0.600698924	5	4.189655172	0.392028172	58	42	557	448	500	557	0.027093596	0.023706897	56	2	7.713584662	3.372281323	272.3215517	119.5821353	2.206896552	0.437187309	1.928396165
0.9	112232	0.36146789	0.513650053	5	4.282608696	0.450267721	46	42	545	455	500	545	0.040372671	0.035326087	45	1	8	3.372281323	213.1076087	135.7335033	2.304347826	0.421535165	2
